관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편의시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
48170-00042,프린지공원,근린공원,-,경상남도 진주시 가좌동 539 일원,35.151688,128.106352,11075,농구장,"조합놀이대, 그네,시소, 흔들놀이",공중화장실,-,-,2001-01-04,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00041,남가람공원,문화공원,경상남도 진주시 강남로 320,경상남도 진주시 망경동 110-1일원,35.1872062,128.0821768,87000,-,-,"공중화장실,매점",-,분수대,2000-12-04,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00040,대평어린이공원,어린이공원,-,경상남도 진주시 대평면 대평리 510-1,35.23418634,127.9602987,3135,-,-,-,-,-,2000-12-04,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00039,가호11어린이공원,어린이공원,-,경상남도 진주시 가좌동 446-1,35.158364,128.10873,5268,배드민턴장,"그네, 시소, 조합놀이대",-,-,-,2000-05-31,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00038,가호10어린이공원,어린이공원,-,경상남도 진주시 가좌동 573-2,35.148727,128.101361,1504,-,조합놀이대,-,-,-,2000-05-31,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00037,가호9어린이공원,어린이공원,-,경상남도 진주시 가좌동 479-2,35.154655,128.108594,2005,-,"그네, 흔들놀이기구,조합놀이대",-,-,-,2000-05-31,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00036,가호8어린이공원,어린이공원,-,경상남도 진주시 호탄동 619-8,35.162471,128.114589,1885,-,"그네, 시소, 조합놀이대",-,-,-,1997-04-30,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00035,가호7어린이공원,어린이공원,-,경상남도 진주시 호탄동 638,35.164279,128.116905,1820,-,"시소, 조합놀이대",-,-,-,1997-04-30,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00034,가호6어린이공원,어린이공원,-,경상남도 진주시 호탄동 604,35.163371,128.113391,2025,-,"그네, 미끄럼틀, 조합놀이대",-,-,-,1997-04-30,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00033,중천어린이공원,어린이공원,-,경상남도 진주시 금산면 중천리 278-6,35.216082,128.140845,1500,-,"그네, 시소,조합놀이대",-,-,-,1996-12-04,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00032,중천2공원,근린공원,-,경상남도 진주시 금산면 중천리 261,35.218293,128.139484,2378,-,-,-,-,-,1996-12-04,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00031,중천1공원,근린공원,-,경상남도 진주시 금산면 중천리 269-3 일원,35.218153,128.141834,20323,-,-,-,-,-,1996-12-04,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00030,평거12어린이공원,어린이공원,-,경상남도 진주시 평거동 759-4,35.173715,128.066641,1894,-,"흔들놀이기구, 시소,조합놀이대",-,-,-,1994-07-05,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00029,평거11어린이공원,어린이공원,-,경상남도 진주시 평거동 780-1,35.171421,128.065455,2077,-,"그네, 시소,조합놀이대",-,-,-,1994-07-05,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00028,평거10어린이공원,어린이공원,-,경상남도 진주시 평거동 192-2,35.172548,128.062819,2232,-,"그네, 조합놀이대",-,-,-,1994-07-05,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00027,평거9어린이공원,어린이공원,-,경상남도 진주시 평거동 191-2,35.174796,128.063754,1714,-,"그네, 조합놀이대",-,-,-,1994-07-05,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00026,평거8어린이공원,어린이공원,-,경상남도 진주시 신안동 710-3,35.177484,128.065543,1994,-,"그네, 흔들놀이기구,조합놀이대,시소",-,-,-,1992-12-22,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00085,담이울공원,수변공원,-,경상남도 진주시 충무공동 291-1,35.175322,128.143272,28461,-,-,-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00084,가람울공원,수변공원,-,경상남도 진주시 충무공동 224,35.17768,128.146027,10403,-,-,-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00083,여울목공원,수변공원,-,경상남도 진주시 충무공동 36,35.179712,128.140666,15752,-,-,-,-,수경시설,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00082,토끼달공원,어린이공원,-,경상남도 진주시 충무공동 127,35.169759,128.137701,2452,-,"조합놀이대, 시소, 기타놀이기구",-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00081,여우별공원,어린이공원,-,경상남도 진주시 충무공동 119-6,35.172986,128.13821,1506,-,"조합놀이대, 시소, 기타놀이기구",-,-,-,2007-10-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00020,가호3어린이공원,어린이공원,-,경상남도 진주시 가좌동 663,35.162452,128.111142,1500,-,"흔들놀이기구, 조합놀이대,시소",-,-,-,1992-02-26,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00019,상평서동어린이공원,어린이공원,경상남도 진주시 남강로 117번길 20(상평동),경상남도 진주시 상평동 260-1,35.16971441,128.1143076,1656,게이트볼장,"흔들놀이기구, 조합놀이대,시소",-,-,상평동대한노인회,1991-11-01,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00018,상평동동어린이공원,어린이공원,-,경상남도 진주시 상평동 313-1,35.173105,128.124332,1628,-,"시소, 조합놀이대",-,-,-,1991-11-01,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00017,평거2어린이공원,어린이공원,-,경상남도 진주시 평거동 736,35.169219,128.050252,1570,-,조합놀이대,-,-,-,1991-05-18,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00016,평거4어린이공원,어린이공원,-,경상남도 진주시 신안동 451,35.181762,128.068319,1513,-,"그네, 시소, 조합놀이대",-,-,-,1990-11-23,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00015,송림공원,근린공원,-,경상남도 진주시 상평동 221-6,35.175762,128.108166,26986,생활체육관,"그네,조합놀이대",공중화장실,종합사회복지관,-,1990-08-11,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00014,평거3어린이공원,어린이공원,-,경상남도 진주시 평거동 136-1,35.173615,128.05837,1501,배드민턴장,조합놀이대,-,-,-,1989-09-02,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00013,평거1어린이공원,어린이공원,경상남도 진주시 진양호로 125번길 27,경상남도 진주시 평거동 718-1,35.17007329,128.0520016,1501,-,"흔들놀이기구, 조합놀이대",-,-,조라골경로당,1987-12-10,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00012,문산어린이공원,어린이공원,-,경상남도 진주시 문산읍 삼곡리 658-5,35.166207,128.165789,690,-,"흔들놀이기구, 조합놀이대",-,-,-,1985-10-22,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00010,가호1어린이공원,어린이공원,경상남도 진주시 가좌길 78번길 9-1(가좌동),경상남도 진주시 가좌동 1432-1,35.16027404,128.106637,750,-,조합놀이대,-,-,-,1985-04-16,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00009,봉원2어린이공원,어린이공원,-,경상남도 진주시 상봉동 831-1,35.201388,128.066899,1473,-,-,-,-,-,1983-06-30,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00008,가마못공원,어린이공원,경상남도 진주시 진주성로 141(상봉동),경상남도 진주시 상봉동동 1452,35.20199926,128.073975,4214,배드민턴장,-,공중화장실,-,-,1983-06-30,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00007,칠암어린이공원,어린이공원,경상남도 진주시 강남로 177번길 30-4,경상남도 진주시 칠암동 522,35.18369238,128.0928757,6208,족구장,"조합놀이대, 그네, 시소, 흔들놀이","파고라,음수대",-,칠암어린이집,1982-09-11,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00006,도래새미공원,어린이공원,-,경상남도 진주시 하대동 326,35.192333,128.12489,3543,-,"그네,조합놀이대,시소","파고라, 공중화장실",-,-,1977-07-08,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00005,하대중앙공원,어린이공원,경상남도 진주시 도동로 263번길 24(하대동),경상남도 진주시 하대동 295,35.19421219,128.119337,5652,-,"그네, 흔들놀이기구,조합놀이대,시소",파고라,-,-,1977-07-08,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00004,남강선사유적공원,역사공원,경상남도 진주시 대평면 호반로 1353,경상남도 진주시 대평면 대평리 706-5,35.22438491,127.961967,29447,-,-,주차장,청동기문화박물관,유적복원시설,1976-03-27,경상남도 진주시청,055-749-5171,2019-10-17,5310000,경상남도 진주시
48170-00003,수정어린이공원,어린이공원,경상남도 진주시 촉석로 217번길 20(수정동),경상남도 진주시 수정동 31,35.19729953,128.0851347,1210,-,"흔들놀이기구, 조합놀이대",-,-,수정어린이집,1972-03-16,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00002,장대어린이공원,어린이공원,-,경상남도 진주시 장대동 103,35.193028,128.08848,905,-,조합놀이대,-,-,-,1971-05-27,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00001,진주성공원,역사공원,경상남도 진주시 남강로 626(남성동),경상남도 진주시 남성동 212-9 일원,35.19043229,128.0802214,182700,-,-,"공중화장실,매점,주차장",박물관,-,1968-05-27,경상남도 진주시청,055-749-5171,2019-10-17,5310000,경상남도 진주시
48170-00054,가호13어린이공원,어린이공원,-,경상남도 진주시 호탄동 971,35.163423,128.108522,1862,-,-,-,-,-,2006-01-20,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
48170-00053,가호12어린이공원,어린이공원,-,경상남도 진주시 가좌동 1933,35.105676,128.111536,2032,-,"오르는 기구, 조합놀이대",-,-,-,2006-01-20,경상남도 진주시청,055-749-5931,2019-10-17,5310000,경상남도 진주시
